tau 0.49 V,DTA 0.49 V,tau 0.69 V,DTA 0.69 V,tau 0.89 V,DTA 0.89 V,tau 1.09 V,DTA 1.09 V,tau 1.29 V,DTA 1.29 V,tau 1.49 V,DTA 1.49 V,tau 1.69 V,DTA 1.69 V,tau 1.89 V,DTA 1.89 V
0.00019869176531592196,,0.00019869176531592196,8.414807041927838e-15,0.00019869176531592196,-1.006831962454871e-14,0.00019869176531592196,-6.161554862508416e-14,0.00019869176531592196,-1.0740235854325682e-13,0.00019869176531592196,-1.244835477806558e-13,0.00019869176531592196,-1.3250626418591394e-13,0.00019869176531592196,-1.3899562130856734e-13
0.00020415860408851,,0.00020415860408851,1.620822973316649e-14,0.00020415860408851,-2.320977307148587e-14,0.00020415860408851,-1.323955122583481e-13,0.00020415860408851,-2.279852741641343e-13,0.00020415860408851,-2.6298502594757117e-13,0.00020415860408851,-2.7995940214491225e-13,0.00020415860408851,-2.933671446518685e-13
0.00020977585838595885,,0.00020977585838595885,3.0955626480685634e-14,0.00020977585838595885,-5.195508943136884e-14,0.00020977585838595885,-2.802669398123034e-13,0.00020977585838595885,-4.776150239043661e-13,0.00020977585838595885,-5.486543130711439e-13,0.00020977585838595885,-5.841136216820381e-13,0.00020977585838595885,-6.115357088910614e-13
0.00021554766676641111,,0.00021554766676641111,5.863063503896207e-14,0.00021554766676641111,-1.1340662639827806e-13,0.00021554766676641111,-5.847442077055068e-13,0.00021554766676641111,-9.876066319949322e-13,0.00021554766676641111,-1.1304065355087732e-12,0.00021554766676641111,-1.203547590162283e-12,0.00021554766676641111,-1.259055546890554e-12
0.0002214782816569975,,0.0002214782816569975,1.1014084269312577e-13,0.0002214782816569975,-2.420789481770692e-13,0.0002214782816569975,-1.202829323709298e-12,0.0002214782816569975,-2.015920536437239e-12,0.0002214782816569975,-2.3001464632650573e-12,0.0002214782816569975,-2.44912134979679e-12,0.0002214782816569975,-2.5603056556492643e-12
0.0002275720724868466,,0.0002275720724868466,2.0523738512906262e-13,0.0002275720724868466,-5.063943603116262e-13,0.0002275720724868466,-2.440112614391349e-12,0.0002275720724868466,-4.0624496162705826e-12,0.0002275720724868466,-4.622490526804099e-12,0.0002275720724868466,-4.922136662752489e-12,0.0002275720724868466,-5.142476904467334e-12
0.00023383352890629698,,0.00023383352890629698,3.7938535055331285e-13,0.00023383352890629698,-1.039697272446529e-12,0.00023383352890629698,-4.8830067967942696e-12,0.00023383352890629698,-8.082836181636292e-12,0.00023383352890629698,-9.175065320763649e-12,0.00023383352890629698,-9.770272224131557e-12,0.00023383352890629698,-1.0202228633514731e-11
0.00024026726409468523,,0.00024026726409468523,6.957249550311493e-13,0.00024026726409468523,-2.0976074669036516e-12,0.00024026726409468523,-9.641042254660233e-12,0.00024026726409468523,-1.5879322119673474e-11,0.00024026726409468523,-1.7987308614576643e-11,0.00024026726409468523,-1.9154946572362353e-11,0.00024026726409468523,-1.9992515627059322e-11
0.00024687801815914304,,0.00024687801815914304,1.2656951719619197e-12,0.00024687801815914304,-4.162364022170666e-12,0.00024687801815914304,-1.878426290384937e-11,0.00024687801815914304,-3.080488401699468e-11,0.00024687801815914304,-3.483028294636438e-11,0.00024687801815914304,-3.7092553281520186e-11,0.00024687801815914304,-3.8698680071483747e-11
0.000253670661626909,,0.000253670661626909,2.284238005553971e-12,0.000253670661626909,-8.129623716607665e-12,0.000253670661626909,-3.612111773515181e-11,0.000253670661626909,-5.901333346457554e-11,0.000253670661626909,-6.661780666286489e-11,0.000253670661626909,-7.094683083420644e-11,0.000253670661626909,-7.399238510251363e-11
0.0002606501990337314,,0.0002606501990337314,4.089267226386873e-12,0.0002606501990337314,-1.563756494467888e-11,0.0002606501990337314,-6.856133380815667e-11,0.0002606501990337314,-1.116462539538943e-10,0.0002606501990337314,-1.2585597924070705e-10,0.0002606501990337314,-1.340379182118248e-10,0.0002606501990337314,-1.3974788615535963e-10
0.0002678217726109996,,0.0002678217726109996,7.261038748726566e-12,0.0002678217726109996,-2.9637552334532845e-11,0.0002678217726109996,-1.2846799588821417e-10,0.0002678217726109996,-2.0860249681552957e-10,0.0002678217726109996,-2.348628728016077e-10,0.0002678217726109996,-2.5013688866155526e-10,0.0002678217726109996,-2.6072064240812306e-10
0.00027519066607432495,,0.00027519066607432495,1.2786324053533857e-11,0.00027519066607432495,-5.536807367343134e-11,0.00027519066607432495,-2.3765578165077023e-10,0.00027519066607432495,-3.8493895300348194e-10,0.00027519066607432495,-4.3293022650944745e-10,0.00027519066607432495,-4.6109393419981547e-10,0.00027519066607432495,-4.804870038702849e-10
0.0002827623085163627,,0.0002827623085163627,2.2326464351539517e-11,0.0002827623085163627,-1.0199072137539031e-10,0.0002827623085163627,-4.340844814728544e-10,0.0002827623085163627,-7.015764388802571e-10,0.0002827623085163627,-7.882969545187692e-10,0.0002827623085163627,-8.395918015231641e-10,0.0002827623085163627,-8.747171006732079e-10
0.0002905422784067402,,0.0002905422784067402,3.864969257647739e-11,0.0002905422784067402,-1.85294786602036e-10,0.0002905422784067402,-7.828934636564556e-10,0.0002905422784067402,-1.2629350959617004e-09,0.0002905422784067402,-1.4178654042654085e-09,0.0002905422784067402,-1.5101462911576356e-09,0.0002905422784067402,-1.573028752105219e-09
0.00029853630770203856,,0.00029853630770203856,6.631953952262409e-11,0.00029853630770203856,-3.3209737301421016e-10,0.00029853630770203856,-1.3943114002584434e-09,0.00029853630770203856,-2.245539452484344e-09,0.00029853630770203856,-2.519171436320992e-09,0.00029853630770203856,-2.683158604618759e-09,0.00029853630770203856,-2.794420804278395e-09
0.00030675028606886115,,0.00030675028606886115,1.1277656402919051e-10,0.00030675028606886115,-5.872872311506858e-10,0.00030675028606886115,-2.4522708029549755e-09,0.00030675028606886115,-3.943696506365013e-09,0.00030675028606886115,-4.421421792744392e-09,0.00030675028606886115,-4.70927649493278e-09,0.00030675028606886115,-4.903834843217492e-09
0.00031519026522309237,,0.00031519026522309237,1.9001487906859372e-10,0.00031519026522309237,-1.0249181940692087e-09,0.00031519026522309237,-4.259401690936603e-09,0.00031519026522309237,-6.841288624377099e-09,0.00031519026522309237,-7.665690785533706e-09,0.00031519026522309237,-8.16481288751457e-09,0.00031519026522309237,-8.501025771376002e-09
0.00032386246338854814,,0.00032386246338854814,3.171436499863386e-10,0.00032386246338854814,-1.7653939916630973e-09,0.00032386246338854814,-7.3066422574607495e-09,0.00032386246338854814,-1.1722806516395825e-08,0.00032386246338854814,-1.3128923748714021e-08,0.00032386246338854814,-1.3983821973918088e-08,0.00032386246338854814,-1.4557966974514247e-08
0.0003327732698783051,,0.0003327732698783051,5.242431045062326e-10,0.0003327732698783051,-3.0016462100634635e-09,0.0003327732698783051,-1.2379173158303945e-08,0.0003327732698783051,-1.9842273621033642e-08,0.0003327732698783051,-2.2212558415602112e-08,0.0003327732698783051,-2.3658996483394774e-08,0.0003327732698783051,-2.462784125365053e-08
0.0003419292498020786,,0.0003419292498020786,8.580806378036938e-10,0.0003419292498020786,-5.038336179709688e-09,0.0003419292498020786,-2.0714940245697756e-08,0.0003419292498020786,-3.3175976648224777e-08,0.0003419292498020786,-3.7124675348573535e-08,0.0003419292498020786,-3.954217470812943e-08,0.0003419292498020786,-4.115763652844523e-08
0.0003513371489031197,,0.0003513371489031197,1.3904499916649175e-09,0.0003513371489031197,-8.349545023251429e-09,0.0003513371489031197,-3.423782657266964e-08,0.0003513371489031197,-5.479415639825777e-08,0.0003513371489031197,-6.129488966088516e-08,0.0003513371489031197,-6.528621325522501e-08,0.0003513371489031197,-6.794776720559071e-08
0.0003610038985281994,,0.0003610038985281994,2.2301367450293895e-09,0.0003610038985281994,-1.3662166703237281e-08,0.0003610038985281994,-5.5894629169847824e-08,0.0003610038985281994,-8.939812921970225e-08,0.0003610038985281994,-9.997380909128998e-08,0.0003610038985281994,-1.0648340796133292e-07,0.0003610038985281994,-1.1081609777642793e-07
0.00037093662073433366,,0.00037093662073433366,3.5397922971937084e-09,0.00037093662073433366,-2.2074258445682885e-08,0.00037093662073433366,-9.013329086007953e-08,0.00037093662073433366,-1.4408255182948424e-07,0.00037093662073433366,-1.6108363687385085e-07,0.00037093662073433366,-1.7157134680878624e-07,0.00037093662073433366,-1.7854006094252502e-07
0.00038114263353601635,,0.00038114263353601635,5.559303056449602e-09,0.00038114263353601635,-3.521983881396241e-08,0.00038114263353601635,-1.4356898212461456e-07,0.00038114263353601635,-2.2939716256263764e-07,0.00038114263353601635,-2.564027760086599e-07,0.00038114263353601635,-2.7309439648966094e-07,0.00038114263353601635,-2.841685502293973e-07
0.00039162945629682877,,0.00039162945629682877,8.63754587256547e-09,0.00039162945629682877,-5.5493871880529655e-08,0.00039162945629682877,-2.2589391395419214e-07,0.00039162945629682877,-3.607972151702252e-07,0.00039162945629682877,-4.0318384429287785e-07,0.00039162945629682877,-4.294266231451787e-07,0.00039162945629682877,-4.4681353328848674e-07
0.0004024048152693906,,0.0004024048152693906,1.3274682469329898e-08,0.0004024048152693906,-8.635313269152006e-08,0.0004024048152693906,-3.510950113387402e-07,0.0004024048152693906,-5.605851090531965e-07,0.0004024048152693906,-6.263192559352524e-07,0.0004024048152693906,-6.670776063304971e-07,0.0004024048152693906,-6.940475603517735e-07
0.000413476649287741,,0.000413476649287741,2.0177302376117237e-08,0.000413476649287741,-1.3270986728070415e-07,0.000413476649287741,-5.390490459875274e-07,0.000413476649287741,-8.60454661607901e-07,0.000413476649287741,-9.611783864960773e-07,0.000413476649287741,-1.0237130370835558e-06,0.000413476649287741,-1.0650441066195583e-06
0.0004248531156163376,,0.0004248531156163376,3.032869151639441e-08,0.0004248531156163376,-2.0143503660459e-07,0.0004248531156163376,-8.175651596884334e-07,0.0004248531156163376,-1.30475034208014e-06,0.0004248531156163376,-1.4572411477202957e-06,0.0004248531156163376,-1.55202275115902e-06,0.0004248531156163376,-1.6145983547846777e-06
0.00043654259595999077,,0.00043654259595999077,4.507617746378922e-08,0.00043654259595999077,-3.019857172171497e-07,0.00043654259595999077,-1.2249369689720753e-06,0.00043654259595999077,-1.954541949787243e-06,0.00043654259595999077,-2.182639363171072e-06,0.00043654259595999077,-2.3245543948215543e-06,0.00043654259595999077,-2.418150818547798e-06
0.000448553702639152,,0.000448553702639152,6.623676262158888e-08,0.000448553702639152,-4.471660642951985e-07,0.000448553702639152,-1.8130472654693722e-06,0.000448553702639152,-2.892585357571097e-06,0.000448553702639152,-3.2296837077369475e-06,0.000448553702639152,-3.4395949087585724e-06,0.000448553702639152,-3.5778985187194024e-06
0.0004608952849351101,,0.0004608952849351101,9.622097973289812e-08,0.0004608952849351101,-6.540222416039946e-07,0.0004608952849351101,-2.6510342481365322e-06,0.0004608952849351101,-4.229186571076701e-06,0.0004608952849351101,-4.721394020761449e-06,0.0004608952849351101,-5.0281179028987275e-06,0.0004608952849351101,-5.23001143321582e-06
0.0004735764356097745,,0.0004735764356097745,1.3817298130545486e-07,0.0004735764356097745,-9.448581109886356e-07,0.0004735764356097745,-3.829476183572118e-06,0.0004735764356097745,-6.108904632141168e-06,0.0004735764356097745,-6.818959106817463e-06,0.0004735764356097745,-7.26171700375226e-06,0.0004735764356097745,-7.552869632623124e-06
0.0004866064976048409,,0.0004866064976048409,1.9612223682129712e-07,0.0004866064976048409,-1.3483397609616768e-06,0.0004866064976048409,-5.464979440133788e-06,0.0004866064976048409,-8.717915726714629e-06,0.0004866064976048409,-9.72992524386813e-06,0.0004866064976048409,-1.0361309702438794e-05,0.0004866064976048409,-1.0776095049545576e-05
0.0004999950709252786,,0.0004999950709252786,2.7513886126625577e-07,0.0004999950709252786,-1.9006331592126417e-06,0.0004999950709252786,-7.704963003766193e-06,0.0004999950709252786,-1.2291716258491936e-05,0.0004999950709252786,-1.371675055104727e-05,0.0004999950709252786,-1.4606223149146243e-05,0.0004999950709252786,-1.5189971255520432e-05
0.0005137520197122154,,0.0005137520197122154,3.814806430710265e-07,0.0005137520197122154,-2.646491107293199e-06,0.0005137520197122154,-1.0732323784652056e-05,0.0005137520197122154,-1.712267120605862e-05,0.0005137520197122154,-1.9105170277034034e-05,0.0005137520197122154,-2.0343068233304506e-05,0.0005137520197122154,-2.1154630684705267e-05
0.0005278874795104238,,0.0005278874795104238,5.227155235700143e-07,0.0005278874795104238,-3.6401750018275323e-06,0.0005278874795104238,-1.4769547950149146e-05,0.0005278874795104238,-2.356672630003794e-05,0.0005278874795104238,-2.629160773889369e-05,0.0005278874795104238,-2.7993583748781065e-05,0.0005278874795104238,-2.9108154592911545e-05
0.000542411864735764,,0.000542411864735764,7.077990076983021e-07,0.000542411864735764,-4.946066541013046e-06,0.000542411864735764,-2.008171520443061e-05,0.000542411864735764,-3.204841578019442e-05,0.000542411864735764,-3.574865652087182e-05,0.000542411864735764,-3.8060409250663704e-05,0.000542411864735764,-3.957249836652849e-05
0.0005573358763480944,,0.0005573358763480944,9.47082325455803e-07,0.0005573358763480944,-6.638798494707451e-06,0.0005573358763480944,-2.697774084870331e-05,0.0005573358763480944,-4.306313602883096e-05,0.0005573358763480944,-4.802747890041141e-05,0.0005573358763480944,-5.112955249961235e-05,0.0005573358763480944,-5.3155954015044394e-05
0.0005726705097352892,,0.0005726705097352892,1.2522248274626638e-06,0.0005726705097352892,-8.802717022813897e-06,0.0005726705097352892,-3.580913386790206e-05,0.0005726705097352892,-5.71755494833753e-05,0.0005726705097352892,-6.375584725704083e-05,0.0005726705097352892,-6.786819144596595e-05,0.0005726705097352892,-7.055073068238522e-05
0.000588427062814179,,0.000588427062814179,1.6359838864730256e-06,0.000588427062814179,-1.153048643698855e-05,0.000588427062814179,-4.696553973314335e-05,0.000588427062814179,-7.501296667922468e-05,0.000588427062814179,-8.36305373539438e-05,0.000588427062814179,-8.901643206015742e-05,0.000588427062814179,-9.252421513421769e-05
