freq 0.49 V,real 0.49 V,imag 0.49 V,fit_real 0.49 V,fit_imag 0.49 V,freq 0.69 V,real 0.69 V,imag 0.69 V,fit_real 0.69 V,fit_imag 0.69 V,freq 0.89 V,real 0.89 V,imag 0.89 V,fit_real 0.89 V,fit_imag 0.89 V,freq 1.09 V,real 1.09 V,imag 1.09 V,fit_real 1.09 V,fit_imag 1.09 V,freq 1.29 V,real 1.29 V,imag 1.29 V,fit_real 1.29 V,fit_imag 1.29 V,freq 1.49 V,real 1.49 V,imag 1.49 V,fit_real 1.49 V,fit_imag 1.49 V,freq 1.69 V,real 1.69 V,imag 1.69 V,fit_real 1.69 V,fit_imag 1.69 V,freq 1.89 V,real 1.89 V,imag 1.89 V,fit_real 1.89 V,fit_imag 1.89 V
7943.282347242822,-0.00043610830658142826,0.0005005479045603991,,,7943.282347242822,-0.0006130247846632109,0.0004252492489989302,2.367945678563506e-07,0.0003281561215599356,7943.282347242822,-0.00046831423132280515,0.0004335056925015111,-8.727786014782864e-07,0.0003929597573308208,7943.282347242822,-0.0008164472719098642,0.0006323181037710405,-1.199045716727327e-05,0.000554071541325607,7943.282347242822,-0.0009312406867374781,0.0009001789249459493,-2.2287735749237487e-05,0.00040083433523512544,7943.282347242822,-0.0006339960905148462,0.0003489038228466893,-2.360779891247912e-05,0.00016330402550285248,7943.282347242822,-0.000725532138458376,0.0003186889729695981,-2.4410726858628758e-05,0.00017783850283366242,7943.282347242822,-0.000528419293501128,0.00041701144761005027,-2.4869203050251592e-05,0.00012596125081840238
5947.835851664276,-0.00020168344372506353,0.00025538591882211747,,,5947.835851664276,-0.0002834738782277995,0.0002056735234086888,3.816116866913414e-07,0.00023635714889336324,5947.835851664276,-0.0003618038401955958,0.0002658909219979866,-1.5479391662810773e-06,0.0002586604315787121,5947.835851664276,-0.00034487449667120395,0.0005395325549397214,-2.1174654900838428e-05,0.0003936082688887923,5947.835851664276,-0.00048644625782406757,0.00037118260448953694,-3.9340003245953026e-05,0.00030317198475300297,5947.835851664276,-0.0003557232443875185,0.00013674486335587372,-4.163022005072209e-05,0.00011657186646071602,5947.835851664276,-0.00029405547346954747,0.0002137967945165226,-4.3038113266477676e-05,0.00012607851347381355,5947.835851664276,-0.0004977061765985594,0.00016384277626277897,-4.3835566069519136e-05,9.167410701893307e-05
4453.669122138464,-0.00012903879067135114,0.00015574657129550424,,,4453.669122138464,-0.0002043823910250497,0.00013963047744830305,6.262791164416248e-07,0.00016452492294444663,4453.669122138464,-0.0002772405180222981,6.457362372257852e-05,-2.6441910295989785e-06,0.0001457720728837502,4453.669122138464,-0.0003699811653914517,0.0002455529747213025,-3.700681509726253e-05,0.00026393250220731554,4453.669122138464,-0.00023309114744596114,1.1249556734115528e-05,-6.883467319545831e-05,0.0002269385109918204,4453.669122138464,-0.0002345106874292767,-5.607366874142572e-06,-7.276972246931009e-05,7.520957090038192e-05,4453.669122138464,-0.00014947472120805234,4.5398920155954186e-05,-7.520434466244002e-05,8.028852334623788e-05,4453.669122138464,-0.000334447064355938,-8.924944090298614e-05,-7.657744012188049e-05,6.0353167459679996e-05
3334.8547512351884,-0.00012014877370139886,8.669656662561303e-05,,,3334.8547512351884,-0.00016038137732842097,0.00011973753015295921,1.0238972938500461e-06,0.00010665827338386624,3334.8547512351884,-0.00017323629095806968,1.907069829698231e-05,-4.290186195196363e-06,4.4333310957259e-05,3334.8547512351884,-0.0002798942504582245,5.917764576976978e-06,-6.365286149956151e-05,0.0001512428732444439,3334.8547512351884,-5.899315948882767e-05,-0.00024265668251488193,-0.00011876648745328169,0.00016071303168782954,3334.8547512351884,-0.0002034881608098751,-0.00015462910085089194,-0.00012538924843681176,3.0345325124575735e-05,3334.8547512351884,-0.00017765063823031843,-0.00019112719774952962,-0.00012950495842807894,3.098852686285305e-05,3334.8547512351884,-0.0001984283684606864,-0.00029309779516232973,-0.00013182234213068592,2.3618626057908426e-05
2497.0997860065436,-0.00011995798320929506,2.1840632889958358e-05,,,2497.0997860065436,-0.0002208985388015183,5.441983170577693e-05,1.63036536579357e-06,5.7977376277686815e-05,2497.0997860065436,3.591184449663117e-06,-5.503440033412054e-05,-6.396768308414934e-06,-5.504841667350259e-05,2497.0997860065436,-0.0002474885956557068,-1.245644236753463e-05,-0.00010681492127028293,4.0269225224936754e-05,2497.0997860065436,-0.00015875683744500798,-0.0003132184051085128,-0.00020046425982364632,8.878770832078029e-05,2497.0997860065436,-0.00018243692531315166,-0.0002970524601001677,-0.00021121650349059768,-3.268439398647078e-05,2497.0997860065436,-0.0002683321610579134,-0.00034126030718814674,-0.00021792596018322617,-3.7312683360017835e-05,2497.0997860065436,-0.0003225960635906388,-0.0003095825079304867,-0.00022170881959306365,-3.318553654911254e-05
1869.798778781706,-3.494104244421136e-05,-2.2923687597300275e-05,,,1869.798778781706,-7.036955825654619e-05,-6.822471312192256e-05,2.4672569280399983e-06,1.452800685244873e-05,1869.798778781706,-9.733461236356044e-05,-0.0001448218467046357,-8.13723783161624e-06,-0.00016210447758843217,1869.798778781706,-0.00023897825605859047,-0.00036681193761294956,-0.00017278261403735627,-8.883896949022914e-05,1869.798778781706,-0.0001257902607661264,-0.0005400511990252843,-0.00032747769271837475,-1.358843162688314e-05,1869.798778781706,-0.00014537341833882337,-0.0005165799333418281,-0.0003439591162376466,-0.0001391684242250973,1869.798778781706,-0.0002087806992791328,-0.0005280479098917595,-0.0003543018874523218,-0.0001511153298596981,1869.798778781706,-0.00025100031357450634,-0.0005417831767965945,-0.0003601749608234829,-0.00013594984694450892
1400.0832056153952,-5.971223037709267e-05,-6.718134953045306e-05,,,1400.0832056153952,-0.00012656709705876788,-0.00012586760815270278,3.457620691811756e-06,-2.7193978511700526e-05,1400.0832056153952,-8.091663893005068e-05,-0.00037411050286739744,-6.953755160644262e-06,-0.00028748597587057595,1400.0832056153952,-0.00017183861619473126,-0.0006226519787140776,-0.0002655127179845063,-0.0002635308555743234,1400.0832056153952,-0.00016185770936613024,-0.0007268891972050102,-0.0005112576198431441,-0.0001853202875737935,1400.0832056153952,-0.00015980104854389817,-0.0007713869852709877,-0.0005344008477221317,-0.0003301454461223641,1400.0832056153952,-0.00017791559519869362,-0.0008460946203496908,-0.0005490785998909246,-0.00035312445529743703,1400.0832056153952,-0.0003392318433418218,-0.0007528673147331524,-0.0005575928713639696,-0.0003268926848199594
1048.3657412181533,-3.231184109162237e-05,-6.5557484974588e-05,,,1048.3657412181533,-0.00011304731897918331,-0.00018680706666117925,4.384704130073305e-06,-7.067946478451013e-05,1048.3657412181533,-3.230790680113353e-05,-0.0004052947994930811,2.796217257065899e-06,-0.0004425775046839922,1048.3657412181533,-1.4544009706294445e-05,-0.0009755057000080505,-0.00038151505246772604,-0.000520060916327653,1048.3657412181533,-0.00013025633047478955,-0.0011232146827739355,-0.0007529877732622713,-0.00048219142594935357,1048.3657412181533,-0.00015690404283659823,-0.0010142020620885778,-0.0007814098728528528,-0.0006647434366415705,1048.3657412181533,-5.406313840712776e-05,-0.0011063643439792603,-0.0007998748635504231,-0.0007043743074907556,1048.3657412181533,-0.00031918827812512805,-0.001098124550216694,-0.0008112256737519173,-0.0006664272660775421
785.0038647358822,-3.656389529610866e-05,-0.0002745435815106722,,,785.0038647358822,3.4947368321605667e-05,-0.000262105603355264,4.996975041981142e-06,-0.00011993058779811433,785.0038647358822,7.372964160863738e-05,-0.0007645133551461935,3.0970281793383824e-05,-0.000638250332538208,785.0038647358822,8.207342938064649e-05,-0.0010580195063371964,-0.0005040845656478884,-0.0009011584209105833,785.0038647358822,-0.0001854430923754037,-0.0014249896938642722,-0.0010336944367826254,-0.0009741926024260477,785.0038647358822,-0.000252483641587823,-0.0015732123052410586,-0.0010613948679508581,-0.001216499324706272,785.0038647358822,-0.00023359550025207692,-0.0015631142396788035,-0.0010806522762869916,-0.0012799368987054958,785.0038647358822,-0.0003622625625592582,-0.0014832725805650618,-0.0010945083385207317,-0.001228472998129796
587.8016072274918,8.874772485315726e-05,-0.00020451072459808008,,,587.8016072274918,0.00011526619756947812,-0.00031945033508118327,5.38675443310807e-06,-0.00017996952943806428,587.8016072274918,9.842602816519805e-05,-0.0009198964689977991,9.182210976222218e-05,-0.000882873874742952,587.8016072274918,6.604495782189896e-05,-0.0016366768910489368,-0.0005995239135055383,-0.0014502776436186424,587.8016072274918,-5.34047441280852e-05,-0.0019406490268681414,-0.001306759779524071,-0.0017371249889641595,587.8016072274918,-0.00017470329477929143,-0.0021308003467201677,-0.0013208500158073911,-0.002063557354694703,587.8016072274918,-0.0001858597335086595,-0.002124414795532518,-0.0013344593050558986,-0.0021583031386396877,587.8016072274918,-0.00028404532809289305,-0.002129229449355292,-0.001350257673626929,-0.0020895304299044888
