Frequency	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''	Y'	Y''
Hz																		
		0.49 V		0.69 V		0.89 V		1.09 V		1.29 V		1.49 V		1.69 V		1.89 V		2.09 V
1584.89319246111	-2.83474823822945E-6	-8.99706293400708E-6	1.69101094251642E-6	-1.91785035550333E-5	-1.79370625867504E-6	-3.1322720842094E-5	-7.14119771260756E-6	-2.89149141857125E-5	-8.22577299913328E-6	-3.41370164662698E-5	-9.73667318108079E-6	-3.42305791439271E-5	-6.49897743218031E-6	-3.44188730769801E-5	-5.11551570713083E-6	-3.00244754299404E-5	-5.09187981293109E-6	-3.29982747006638E-5
1258.92541179417	1.49967979953202E-6	-1.04426008298547E-5	3.34526783939454E-6	-2.1886734211595E-5	5.94985226725602E-6	-3.8836201323513E-5	-6.38210009191737E-6	-3.51020663649146E-5	-8.29869962189456E-6	-4.57744235064895E-5	-9.61055108913777E-6	-4.41426519343845E-5	-1.01107410424166E-5	-4.28540695202366E-5	-7.70668914480219E-6	-4.36505767394168E-5	-4.78532954004085E-6	-4.02269838249928E-5
1000	2.59402204739766E-6	-9.99563187352307E-6	1.12318397659539E-5	-2.45931542780351E-5	8.79707713130713E-6	-4.51361540258611E-5	-5.55898798736354E-6	-4.68086703449986E-5	-1.10073575424063E-5	-5.83537583283867E-5	-1.32768329965151E-5	-5.15355719372134E-5	-3.15099475065373E-6	-5.14097049570264E-5	-4.16384665526136E-6	-5.25000141098105E-5	1.14125611732991E-6	-5.39295645375064E-5
794.328234724282	4.07769130724604E-7	-1.41447467457285E-5	1.05100109848385E-5	-2.93517913027613E-5	1.01600305944217E-5	-5.5910837220984E-5	-3.372892261096E-6	-6.31107478125925E-5	-1.34243342597387E-5	-7.06919749097947E-5	-1.22993001716178E-5	-7.66380774824796E-5	-6.60907177357017E-6	-6.72598427995292E-5	-3.44118675071958E-6	-6.34186616995283E-5	-1.83204028488693E-6	-6.18135621045008E-5
630.957344480194	3.62516799852092E-6	-1.59434330481608E-5	1.51238950687371E-5	-2.94012764032031E-5	1.5955755233419E-5	-6.49152493488286E-5	7.73205208216701E-6	-7.32478205464643E-5	-1.24017229128641E-5	-9.24757396538616E-5	-1.37604144264241E-5	-9.75189968054442E-5	-1.30189641927679E-5	-8.8022719516161E-5	-3.50936547031112E-6	-8.08751898896045E-5	-1.51039216032164E-7	-7.58846869433462E-5
501.187233627272	3.10604730403883E-6	-1.91423069688844E-5	1.75100492948857E-5	-3.80727357016259E-5	2.48104009051273E-5	-7.91370625372787E-5	4.63070186986762E-6	-9.50566747739805E-5	-1.05476324367611E-5	-1.25138214113277E-4	-1.64961462854701E-5	-1.24566485227549E-4	-1.04536198499333E-5	-1.1339020084826E-4	-3.73028087328732E-6	-1.06562724589016E-4	4.82870635885159E-6	-9.6153232986841E-5
398.107170553497	1.17357998471546E-5	-1.75592504963537E-5	2.38736517823658E-5	-4.33412581384092E-5	3.38601405840369E-5	-9.11440453060002E-5	1.28309333116394E-5	-1.21674060433226E-4	-8.32390004283562E-6	-1.58418706031974E-4	-1.80558051600165E-5	-1.57781949610167E-4	-1.36552159757521E-5	-1.43095777864956E-4	4.02762636019516E-7	-1.32289446623106E-4	1.38282064539666E-5	-1.23804188998606E-4
316.227766016838	8.27398594412786E-6	-2.6221571683356E-5	2.90676834604678E-5	-4.82890595082199E-5	4.1159990415365E-5	-1.08130139998273E-4	1.49368943409856E-5	-1.46746342964478E-4	-5.80761616611059E-6	-2.01568147173776E-4	-1.63853079996373E-5	-2.02925289507208E-4	-1.00267003989346E-5	-1.86844707957612E-4	-5.142819586971E-6	-1.69365538507714E-4	1.52256510657882E-5	-1.50386183760525E-4
251.188643150958	3.27198071463892E-6	-2.07423720750771E-5	2.89467700635948E-5	-4.61587344531999E-5	6.02354500697222E-5	-1.07858072785022E-4	2.50404531943247E-5	-1.79044612031136E-4	7.272960171625E-6	-2.46492607196974E-4	3.61360476982292E-6	-2.66295301084739E-4	-2.12796185043579E-5	-2.56822791758475E-4	-2.95209485990206E-6	-2.09073397498356E-4	2.98440489259174E-5	-1.92202112354657E-4
199.526231496888	1.73070766704697E-5	-4.19467469566938E-5	4.04501947636842E-5	-6.22071529503551E-5	7.87306765306531E-5	-1.35018423320971E-4	5.56060804708565E-5	-2.16302292178492E-4	2.02734312972568E-5	-3.18152093470852E-4	2.18658715763829E-7	-3.35675377754414E-4	1.54741935831466E-6	-3.15044557255663E-4	3.25070658959475E-6	-2.66559996360475E-4	3.91489505965903E-5	-2.29487681819429E-4
158.489319246111	1.47831031427512E-5	-4.67739416353024E-5	5.19478178001136E-5	-7.20704141855693E-5	9.73241306692932E-5	-1.58648847245586E-4	8.09858083293782E-5	-2.63869296582153E-4	4.01436356781561E-5	-3.98671761084539E-4	2.30656557259485E-5	-4.26292728654931E-4	1.51122652985623E-5	-4.0262179074471E-4	2.39487864223528E-5	-3.41207695761778E-4	5.68338906261725E-5	-2.88455322693875E-4
125.892541179417	1.83560882981559E-5	-5.11499799938444E-5	6.67945463074472E-5	-8.78737496352492E-5	1.23919708308785E-4	-1.81606067629767E-4	1.11576290107672E-4	-3.09226243730697E-4	7.12307249588146E-5	-4.84913441762219E-4	5.64829864560813E-5	-5.36117483763361E-4	4.47375590516606E-5	-5.13316176048862E-4	4.88674772101051E-5	-4.33248385377145E-4	8.88640369235194E-5	-3.55079046554642E-4
100	2.83707818891783E-5	-6.12592672171972E-5	7.10696269787785E-5	-9.03605195445138E-5	1.45291421126064E-4	-2.07357816809583E-4	1.46785497047438E-4	-3.70153712104222E-4	1.33030008121829E-4	-6.00148350629197E-4	1.16047241178438E-4	-6.68576105832434E-4	9.39636086930783E-5	-6.47093432038939E-4	8.85491182452549E-5	-5.35836618745916E-4	1.24641285716771E-4	-4.27048748471811E-4
79.4328234724282	4.16937699174599E-5	-7.42127034318552E-5	8.11660061250891E-5	-1.10011641531949E-4	1.83094739304832E-4	-2.30189711374619E-4	1.98096203850673E-4	-4.32623157679421E-4	1.93072203092298E-4	-7.27417675967217E-4	1.99961676464771E-4	-8.14521613338786E-4	1.61059876511975E-4	-7.86152832191431E-4	1.4559503696453E-4	-6.69985665540728E-4	1.70416811184037E-4	-5.13868433618743E-4
63.0957344480194	4.60003305926336E-5	-7.24069460328853E-5	1.04902153873387E-4	-1.17227220646645E-4	2.24964165536343E-4	-2.43059102407931E-4	2.70105487564293E-4	-5.02578332131221E-4	3.00900488055794E-4	-8.70559551488309E-4	3.02203705673319E-4	-9.78776943415443E-4	2.84109170018808E-4	-9.56380304013134E-4	2.31567774143418E-4	-8.04461892417253E-4	2.33878228372686E-4	-6.01112813434221E-4
50.1187233627273	5.52366189903732E-5	-9.65195418860659E-5	1.18019219482533E-4	-1.28425101162034E-4	2.70179960928047E-4	-2.63375793053463E-4	3.50021058762025E-4	-5.63179807924176E-4	4.31937014236123E-4	-0.00102585173114658	4.56573284975215E-4	-0.00115799851459904	4.19234201409749E-4	-0.00112900272486082	3.51260211770035E-4	-9.60298946596294E-4	3.21454551026162E-4	-7.05521499611391E-4
39.8107170553497	7.78961919343151E-5	-1.08125902288417E-4	1.39813165343378E-4	-1.33472737073892E-4	3.16253057564208E-4	-2.7605073069022E-4	4.50467488274268E-4	-6.28365943762844E-4	5.97986617604745E-4	-0.00118721370128357	6.61300212417234E-4	-0.00134099770174878	6.2266747970723E-4	-0.00130858571219834	5.10779909641096E-4	-0.00111598493981296	4.24724313743571E-4	-8.08410732845116E-4
31.6227766016838	8.17895557848734E-5	-1.22021086574504E-4	1.76014115408809E-4	-1.53193841733115E-4	3.77918051622154E-4	-2.76605304632766E-4	5.68324931193532E-4	-6.73727057926263E-4	8.25714697726868E-4	-0.00133834160365803	9.13939471076577E-4	-0.00150603777840219	8.65754436038966E-4	-0.0014743441045938	7.14345177996153E-4	-0.00126482464441604	5.45447604202543E-4	-9.16659526128675E-4
25.1188643150958	1.12601828135852E-4	-1.46401452744884E-4	1.98159422596574E-4	-1.62684051290669E-4	4.42750030626154E-4	-2.82483858742211E-4	7.06399650519706E-4	-7.26621787060059E-4	0.00109044553526986	-0.00147041416128674	0.00121199399864687	-0.00164205625761415	0.00116983700189358	-0.00160838836806451	9.50883935320681E-4	-0.00138954387097721	6.95296820360168E-4	-0.00102121706252019
19.9526231496888	1.30504542090983E-4	-1.44833874892782E-4	2.13233760106517E-4	-1.73936365435004E-4	5.02834306268774E-4	-2.74976363939852E-4	8.76428078510346E-4	-7.39345120806545E-4	0.00139555026062829	-0.00155885098170313	0.00156381523091146	-0.00172801493285109	0.00149399183679226	-0.00169548873774352	0.00122300254178152	-0.00149739051817312	8.68353507808158E-4	-0.00111879254466685
15.8489319246111	1.69372519528759E-4	-1.65383142447438E-4	2.66451247497124E-4	-1.75048306912864E-4	5.55523848943194E-4	-2.34746910355845E-4	0.00101778579781391	-7.37809993001436E-4	0.0017227468222472	-0.00161010862314039	0.00193629740855208	-0.00175330486652959	0.00184746681455904	-0.0017267288836196	0.00150967092333074	-0.00156833362005565	0.00105234491596727	-0.00121720189991825
12.5892541179417	2.06073254129491E-4	-1.63171692119386E-4	3.06081562847143E-4	-1.65232290107687E-4	6.12202205571293E-4	-2.01186342251541E-4	0.00117404810560646	-7.02199158187617E-4	0.00206042075928571	-0.00158467377111688	0.002285766655594	-0.00172061419703225	0.0021877163397205	-0.00170738681088526	0.00181158971423142	-0.00159727910929913	0.0012550532754276	-0.00129667391879323
10	2.44610997243928E-4	-1.70969363170968E-4	3.43047246254627E-4	-1.6600081609426E-4	6.60841669798222E-4	-1.59106009305592E-4	0.00131110974822309	-6.38377195296943E-4	0.00236934001994432	-0.00151388989561932	0.00262098284227731	-0.00163074691320465	0.00250634328489177	-0.00163709851631886	0.00210413529667708	-0.0015866483438041	0.00147837159863017	-0.00137017365376558
7.94328234724282	2.85858491884821E-4	-1.43407762768403E-4	3.85964247507952E-4	-1.54254201629678E-4	6.85661671905842E-4	-9.69288316114718E-5	0.00143176665394149	-5.59001390347288E-4	0.00264994558541782	-0.00138882187880769	0.00290150731687377	-0.00149639156409866	0.00279918751184585	-0.00153241653274833	0.00237924164303558	-0.00154948579091225	0.00171111469076616	-0.00143274277831582
6.30957344480193	3.18839692120562E-4	-1.38332727842713E-4	4.08505486981111E-4	-1.09554136435175E-4	6.93445596028216E-4	-4.76000842493952E-5	0.00151348576265106	-4.61744745743852E-4	0.00288115863301831	-0.00124793172632304	0.00314652459657348	-0.00135057569258086	0.00303711965374449	-0.00140968161880939	0.00264736752470681	-0.001489645673125	0.00195449530577039	-0.00147770996459328
5.01187233627272	3.5192041784032E-4	-9.34725014486841E-5	4.30317153800257E-4	-8.42594688602081E-5	6.97045873591941E-4	1.62633313080998E-5	0.00156421770027613	-3.69975459173003E-4	0.00306494877515813	-0.00110167433664568	0.00334097134426992	-0.00119833479714718	0.0032519662492258	-0.00128375195535047	0.00288913970994765	-0.00142056676097291	0.0022138641058791	-0.00150442922506043
3.98107170553497	3.66226192484361E-4	-6.78634795148361E-5	4.51152343537271E-4	-3.6070003888379E-5	6.80850801986858E-4	7.92941249383805E-5	0.00161242256330385	-2.77918630046585E-4	0.00320769445535539	-9.54391607997405E-4	0.00349388832100047	-0.00105965115709087	0.00343188115629725	-0.00115856726304685	0.0031093801748853	-0.00133887799725307	0.00247916432442596	-0.00150918533297343
3.16227766016838	3.90434300487755E-4	-2.01636854862703E-5	4.48706268718344E-4	-1.01502553148846E-5	6.47282492037129E-4	1.1556432609754E-4	0.00162586924377516	-2.05807168411554E-4	0.00331761807880327	-8.25495115864711E-4	0.00362352569647281	-9.268267663753E-4	0.00358032924446986	-0.00104106890032013	0.00330879444680903	-0.00125225510220965	0.00274266697638244	-0.00149394620412958
2.51188643150958	3.87332611146777E-4	2.45112488403133E-5	4.42546605308978E-4	3.14686549683351E-5	6.07759261279825E-4	1.55459983514645E-4	0.00163003704033571	-1.47065109416177E-4	0.00340574757218767	-7.05883780932351E-4	0.00372317917095918	-8.06567146057251E-4	0.00370913851868772	-9.30475658117282E-4	0.00349224313001246	-0.00116189657349726	0.00300179988799052	-0.00144978924863515
1.99526231496888	3.77599545533025E-4	6.28407902421347E-5	4.24879205424467E-4	6.13197438561357E-5	5.61769316033725E-4	1.83337814772366E-4	0.00162949663671873	-9.54940902287828E-5	0.00347690508693477	-6.05870394554804E-4	0.00380987601020853	-7.05740728536947E-4	0.00381795307142874	-8.33654826461494E-4	0.0036552464777997	-0.00106900114083394	0.00324817034611361	-0.0013872062180524
1.58489319246111	3.46200136132308E-4	9.77494003668063E-5	4.04361428388648E-4	9.547716352474E-5	5.15671909841614E-4	1.98998603340309E-4	0.00162054296346111	-5.19932693019315E-5	0.00353666464610232	-5.13834947682373E-4	0.00388514070418892	-6.15891598220082E-4	0.00391770934362553	-7.45856143661979E-4	0.00380470626643807	-9.75612180552716E-4	0.00347404221274324	-0.00130252201346099
1.25892541179417	3.19581621603476E-4	1.21904414460445E-4	3.82342810625954E-4	1.21604032566319E-4	4.73741385749101E-4	2.0776245756236E-4	0.00160983327591341	-1.51757817669157E-5	0.00358570443212537	-4.37627275031351E-4	0.0039428635602476	-5.36908777045826E-4	0.00400310775799882	-6.64697350319947E-4	0.00393093210810603	-8.87050868315155E-4	0.00367769320341105	-0.00120609939321053
1	2.76835987021399E-4	1.42625618068397E-4	3.5440611204442E-4	1.36328669902664E-4	4.31275597086267E-4	2.17073353722298E-4	0.00158572656099387	1.69498512756127E-5	0.00361447173637351	-3.65839588456976E-4	0.00399766480632643	-4.65689651488016E-4	0.0040796132690413	-5.92273982735491E-4	0.00404706095550973	-7.9855412601893E-4	0.00385562749584409	-0.00110231617145985
0.794328234724281	2.45864736414819E-4	1.51006845043174E-4	3.22694324583832E-4	1.50103015520965E-4	3.83661797538724E-4	2.14450338728012E-4	0.00156462638246451	3.54250945330629E-5	0.00364049547441835	-3.10254434217748E-4	0.00404537840447319	-4.03351650252139E-4	0.00414797193532642	-5.25825878387248E-4	0.00414558452847711	-7.16950827110463E-4	0.00401482978999117	-9.9461916023037E-4
0.630957344480193	2.08493750108816E-4	1.52753527745639E-4	2.8358283640756E-4	1.5312218834392E-4	3.52861872177282E-4	2.03700269293872E-4	0.00155552346992598	5.79006111201278E-5	0.00367482896226428	-2.59373064407798E-4	0.00408285005727431	-3.54348011455529E-4	0.004202393400833	-4.68142491356355E-4	0.00423624850421646	-6.41612053564142E-4	0.00414649446028917	-8.87707337198337E-4
0.501187233627272	1.77407074313724E-4	1.51022408999228E-4	2.47931708106003E-4	1.61550164646864E-4	3.11461474328481E-4	1.95638435411323E-4	0.00153263477630782	6.38672974619504E-5	0.00369073281780351	-2.18975168081013E-4	0.00411148255812534	-3.04759725579535E-4	0.00425239502310351	-4.11090196421912E-4	0.00430798788094517	-5.72625028708817E-4	0.00425745061550979	-7.8764960450368E-4
0.398107170553497	1.45848636467216E-4	1.47313190569813E-4	2.13247475615014E-4	1.57194908478067E-4	2.79702787851065E-4	1.83010429583263E-4	0.00151252286592489	7.45735321451377E-5	0.00370771177499303	-1.82498965784044E-4	0.0041385574553177	-2.63921782261321E-4	0.00429361465224164	-3.61532958213985E-4	0.00437195954227564	-5.04261641091247E-4	0.00435352724292855	-6.93055764345476E-4
0.316227766016838	1.20789378109782E-4	1.31350623509584E-4	1.90094570922074E-4	1.48915961690262E-4	2.54864931583526E-4	1.79728179709272E-4	0.00148682898382796	9.48864258429511E-5	0.00370930787798469	-1.38631046738226E-4	0.00416692641754623	-2.2887673857796E-4	0.00433625973998188	-3.1952473669211E-4	0.00443303523560055	-4.42795969950098E-4	0.00443042385236149	-6.04667913262159E-4
0.251188643150958	1.02026828885106E-4	1.17791728942958E-4	1.63280546294758E-4	1.54245765576154E-4	2.09124385110118E-4	1.72544880653687E-4	0.00144514692855775	8.62103804586502E-5	0.00370448574256794	-1.28684897892905E-4	0.00418260524680751	-1.86278416466613E-4	0.00436913930592896	-2.70161464037518E-4	0.00447265386169825	-3.81747621116424E-4	0.00449303724223422	-5.22628718649103E-4
0.199526231496888	7.78192563274177E-5	1.08533648695761E-4	1.3257682911326E-4	1.28620010282366E-4	2.01345552727524E-4	1.47304161307565E-4	0.0014471543978065	9.57893017903417E-5	0.00372297688005115	-8.49304877819806E-5	0.00419454857414584	-1.7042953753243E-4	0.00439097799231007	-2.43631726748144E-4	0.00451755555157563	-3.40563816407531E-4	0.00454161083851872	-4.50034738085645E-4
0.158489319246111	7.12759371021041E-5	9.60507621717375E-5	1.08855812898754E-4	1.36898028065199E-4	1.55680153588088E-4	1.35820789382932E-4	0.00140265155341891	7.47963788181003E-5	0.00371309333851064	-9.34656187943885E-5	0.00420042084399088	-1.32353782942165E-4	0.0044091237009518	-1.96326343068461E-4	0.00453655513124095	-2.89494420920885E-4	0.00458241007198698	-3.85460059801633E-4
0.125892541179417	5.37153969042268E-5	7.70288898517374E-5	1.03732310070801E-4	1.128559794992E-4	1.50104842935592E-4	1.4009450478135E-4	0.00137350083704515	1.02606950191436E-4	0.0036944519223778	-5.73166409570334E-5	0.00422099212205065	-1.09391615319507E-4	0.00443711914916529	-1.75150729033138E-4	0.00457031615896955	-2.41276445737001E-4	0.0046148292929484	-3.27792164103519E-4
0.1	3.82555479899672E-5	7.28120871374072E-5	7.62910461828554E-5	8.90411884182932E-5	1.46635363984742E-4	1.11205813032701E-4	0.00138042131272202	1.00446647613437E-4	0.00370788051875646	-2.59144843857241E-5	0.00422762991843079	-1.07219258517144E-4	0.00443990721261047	-1.58850176318485E-4	0.00459847034425059	-2.18190263322455E-4	0.00463210662771926	-2.82885775127015E-4
