31.62278	0.01973	-0.01865	0.05932	-0.06093	0.16172	-0.22194	0.26852	-0.47434	0.3258	-0.6182	0.33242	-0.66998	0.27526	-0.63064	0.23247	-0.48791	0.2217	-0.2841
25.11886	0.02133	-0.02381	0.06629	-0.06905	0.20583	-0.2467	0.35654	-0.52863	0.44284	-0.68769	0.46149	-0.75066	0.3915	-0.72137	0.32171	-0.5583	0.26691	-0.30476
19.95262	0.02843	-0.02611	0.08035	-0.07606	0.25279	-0.26542	0.46036	-0.57721	0.58273	-0.75028	0.61322	-0.81793	0.53164	-0.7993	0.42274	-0.61965	0.3096	-0.33726
15.84893	0.03022	-0.02225	0.098	-0.07597	0.30955	-0.27808	0.57511	-0.60835	0.73542	-0.78629	0.7842	-0.85555	0.69203	-0.85653	0.54514	-0.66689	0.38255	-0.32576
12.58925	0.0383	-0.02639	0.11082	-0.07387	0.36532	-0.28648	0.70221	-0.62452	0.90083	-0.80045	0.96232	-0.86773	0.86975	-0.88641	0.67433	-0.6992	0.44716	-0.35817
10	0.04314	-0.02834	0.13094	-0.07116	0.4222	-0.2779	0.82297	-0.61727	1.0632	-0.78434	1.13506	-0.85094	1.05053	-0.88927	0.815	-0.71763	0.49524	-0.3799
7.94328	0.04544	-0.02605	0.14213	-0.06635	0.47811	-0.26302	0.93966	-0.59959	1.21146	-0.74606	1.29526	-0.81356	1.22444	-0.86725	0.95504	-0.72428	0.55523	-0.42035
6.30957	0.05206	-0.01998	0.16256	-0.05975	0.52967	-0.25086	1.04978	-0.56347	1.34603	-0.69058	1.44379	-0.75441	1.37018	-0.82072	1.08857	-0.71089	0.66731	-0.39031
5.01187	0.05634	-0.01942	0.16925	-0.0409	0.56719	-0.22168	1.14201	-0.5223	1.46111	-0.62574	1.57091	-0.68341	1.52177	-0.75694	1.21356	-0.67437	0.69371	-0.3893
3.98107	0.06064	-0.00887	0.17975	-0.03067	0.60537	-0.19767	1.22228	-0.47566	1.5513	-0.55917	1.66365	-0.61239	1.64549	-0.69422	1.33061	-0.6312	0.83255	-0.37609
3.16228	0.06128	-0.00623	0.18432	-0.01308	0.62791	-0.16857	1.29024	-0.43363	1.62673	-0.49312	1.75174	-0.54472	1.74551	-0.6275	1.43181	-0.58139	0.85225	-0.41245
2.51189	0.06148	0.00381	0.18194	0.00223	0.65161	-0.14458	1.34639	-0.38798	1.68874	-0.432	1.82069	-0.4795	1.83162	-0.55784	1.51857	-0.52957	0.92133	-0.39109
1.99526	0.06178	0.00814	0.18129	0.01336	0.66624	-0.12572	1.39678	-0.34741	1.73743	-0.37671	1.87702	-0.41659	1.90411	-0.49282	1.59546	-0.47425	1.02908	-0.34501
1.58489	0.05993	0.01916	0.17078	0.02906	0.68304	-0.10632	1.43842	-0.31118	1.77763	-0.3289	1.92278	-0.36182	1.9628	-0.43005	1.65728	-0.42605	1.00206	-0.27919
1.25893	0.05147	0.02444	0.16152	0.03749	0.6939	-0.0897	1.47404	-0.27819	1.81177	-0.28769	1.96121	-0.3142	2.01298	-0.37692	1.71152	-0.37498	1.02844	-0.29018
1	0.0505	0.02495	0.15207	0.04409	0.69514	-0.0798	1.50983	-0.25071	1.83796	-0.25429	1.99109	-0.2713	2.05123	-0.32735	1.75236	-0.32315	1.17636	-0.30443
0.79433	0.0399	0.02914	0.13889	0.04726	0.7061	-0.07111	1.54038	-0.22151	1.86571	-0.22401	2.0162	-0.23477	2.08597	-0.28498	1.78853	-0.28334	1.21869	-0.20548
0.63096	0.03722	0.01932	0.13047	0.04936	0.70981	-0.05378	1.56073	-0.20263	1.88805	-0.19404	2.03831	-0.20471	2.11205	-0.24634	1.82601	-0.2478	1.14414	-0.3056
0.50119	0.02729	0.0169	0.11984	0.04827	0.72289	-0.04638	1.58294	-0.17572	1.90903	-0.17251	2.05536	-0.17908	2.13459	-0.21562	1.84767	-0.21717	1.15037	-0.15347
0.39811	0.02448	0.01429	0.11033	0.047	0.72666	-0.03619	1.60127	-0.15914	1.9272	-0.15224	2.07201	-0.15838	2.15342	-0.18829	1.86992	-0.18936	1.13437	-0.19937
0.31623	0.03095	0.02212	0.10146	0.0462	0.72009	-0.03189	1.62428	-0.14718	1.93868	-0.1342	2.08673	-0.1391	2.17132	-0.16642	1.89157	-0.15629	1.33384	-0.32535
0.25119	0.00602	--	0.0923	0.03976	0.73698	-0.03909	1.64452	-0.11861	1.95841	-0.12357	2.09885	-0.12413	2.18437	-0.14943	1.89001	-0.13247	1.4018	0.00134
0.19953	0.02704	0.01424	0.08815	0.03933	0.72701	-0.01556	1.65067	-0.116	1.9671	-0.10316	2.114	-0.11096	2.19823	-0.1325	1.92325	-0.11495	1.29096	-0.31725
0.15849	-0.00128	--	0.08293	0.03262	0.7505	-0.02168	1.66111	-0.08726	1.98767	-0.0934	2.1237	-0.10107	2.21285	-0.12261	1.91412	-0.10461	1.252	0.09696
0.12589	0.0056	--	0.07647	0.03057	0.73165	-0.02806	1.68488	-0.07698	1.9916	-0.08629	2.13384	-0.0892	2.22333	-0.11231	1.92582	-0.06738	1.60601	-0.01294
0.1	0.02581	0.01774	0.07466	0.02923	0.72226	-0.00269	1.68652	-0.08084	1.99738	-0.06792	2.14687	-0.07963	2.23571	-0.1032	1.95795	-0.05872	1.45645	-0.31489
